,text,prediction
0,bill wurtzis loving jesus legal yetno,4.0
1,bill wurtz is very talented,4.0
2,fucking loving this new bill wurtz era,4.0
3,this is what it felt like watching a bill wurtz video before the apwh exam,4.0
4,am not really a fan of the newer stuff from bill wurtz but this newest one is a banger,4.0
5,new post got some money bill wurtz,4.0
6,me seeing bill wurtz post a video over minutes long,4.0
7,who was gonna tell me bill wurtz posted a new song,4.0
8,musica do bill wurtz rapazeada,4.0
9,bill wurtz x louie zong x jack stauber is a dream collaboration for me,4.0
10,new bill wurtz,4.0
11,new song just dropped yay bill wurtz,4.0
12,attempt a bill wurtz video and see how well it goes,4.0
13,yall hear the new bill wurtz,4.0
14,bill wurtz and oro just uploaded songs in the same day,4.0
15,bill wurtz did it again praise be to silicon,4.0
16,i was literally just thinking ab bill wurtz like moments ago,4.0
17,bill wurtz has more interesting harmony than jacob collier,4.0
18,i genuinely check bill wurtz website everyday its so cool,4.0
19,les go new bill wurtz vid out,4.0
20,new header thx to bill wurtz,4.0
21,every time bill wurtz drops i feel an urge to compile his songs together and try to piece together his subconscious from the seemingly nonsensical lyrics,4.0
22,bill wurtz makes me so happy,4.0
23,bill wurtz will always be great,4.0
24,the moment when you and your cousin start talkin bout bill wurtz while your groovin to his latest song,4.0
25,sometimes when i need to chill i just put on a playlist of bill wurtz songs,4.0
26,probably bill wurtz or jack stauber,4.0
27,new bill wurtz song,4.0
28,bill wurtz,4.0
29,and yeah its just something else to brighten up my moodim talking about the bill wurtz song i linked to in an earlier tweet,4.0
30,imagine if bill wurtz had lore,4.0
31,its all bill wurtz,4.0
32,bill wurtz,4.0
33,good song bill wurtz i quite enjoyed it,4.0
34,new bill wurtz video dropped today today is a good day,4.0
35,new bill wurtz song,4.0
36,bill wurtz is backlife is good,4.0
37,um dia com vdeo do bill wurtz sempre um dia feliz,4.0
38,bill wurtz,4.0
39,bill wurtz really a god with the history videos,4.0
40,it is a turquoise color caused by the sheer amount of oxygen in the airidk about whether that is actually true thats what i heard in that bill wurtz video,4.0
41,new bill wurtz alert,4.0
42,sigo pensando en la nueva cancion de bill wurtz wow adoro tanto su msica realmente es mi musico favorito,4.0
43,new song on clover then new bill wurtz song wtf,4.0
44,new bill wurtz video hell yeahhhhhhhhhhhhhhhhhhhhhhhh,4.0
45,babe wake up new bill wurtz song,4.0
46,guess what new bill wurtz song droope dtoday,4.0
47,got some money is my favorite bill wurtz vid by far at least visually the flat letters n shapes are so great,4.0
48,yooo there is new bill wurtz song,4.0
49,my parents remember the commercial jingles from back in the daybill wurtz jingles to me at am,4.0
50,bill wurtz posted a neew fviideo,4.0
51,i love bill wurtz aaa a a a a aaaa,4.0
